0,313,1236
0,621,911
0,622,587
0,777,230
0,1998,322
1,1226,663
1,1348,302
1,1829,1625
2,234,830
2,1000,1788
2,1328,711
2,1346,1780
2,1554,1346
3,242,49
3,1331,90
3,1973,1083
4,1511,1292
4,1764,1910
5,90,1758
5,315,537
5,836,922
5,1334,430
5,1355,535
5,1604,474
6,136,386
6,670,729
6,787,1954
6,887,949
6,935,1782
7,683,1579
7,1169,727
7,1308,456
8,1086,469
9,641,504
9,925,560
9,1142,482
9,1867,945
10,519,1033
10,881,721
10,1136,915
10,1172,1221
10,1395,1071
10,1625,1080
10,1913,1409
10,1931,631
10,1975,1127
11,793,1588
11,808,238
11,1200,635
11,1245,1807
12,780,7
12,1260,942
13,344,1671
13,501,1806
13,615,454
13,1943,810
14,401,1681
14,690,1941
14,1122,765
14,1183,1070
15,292,912
15,350,767
15,1215,1214
15,1780,1604
15,1985,645
16,325,863
16,755,410
16,1159,1771
16,1252,1045
16,1367,1673
16,1424,703
16,1735,220
17,21,1866
17,461,660
17,1884,1765
18,324,732
18,741,1486
18,970,1866
19,992,279
19,1023,1659
19,1216,721
19,1377,355
19,1406,1051
19,1480,27
19,1947,686
19,1961,1621
20,151,732
20,1850,365
21,0,1071
21,201,529
21,401,905
21,513,234
21,1687,728
21,1970,1942
22,207,298
22,351,669
22,960,929
22,1188,620
23,535,1338
23,543,429
23,1311,412
23,1317,1913
23,1393,1476
24,34,1084
24,582,706
24,1380,431
24,1720,1528
25,9,669
25,239,1578
25,254,628
25,1165,1702
25,1218,1460
25,1610,1434
26,207,1460
26,500,1409
26,1364,971
26,1373,442
26,1375,182
26,1959,630
27,73,1731
27,331,1064
27,351,1343
27,476,43
27,587,227
27,1181,1837
27,1398,1130
27,1563,1700
27,1622,1979
28,536,441
28,541,1098
28,969,1609
28,1508,690
29,292,1299
29,308,1836
29,690,1680
29,1495,876
29,1942,312
30,733,1617
30,823,1339
30,1010,444
31,92,1888
31,433,1919
32,228,388
32,441,891
32,863,57
32,1273,1824
32,1801,997
32,1948,1974
33,63,605
33,414,1070
33,731,1614
33,801,967
33,1027,1778
33,1389,1730
33,1412,156
34,681,1714
34,754,678
34,963,447
34,1202,138
35,900,18
35,982,713
35,1361,1912
35,1712,1676
35,1731,531
36,1262,408
36,1385,8
36,1950,1564
37,1452,664
38,246,1348
38,903,642
38,1766,783
39,641,1046
40,843,248
40,1102,667
40,1328,1687
40,1754,1803
40,1760,920
40,1946,1479
41,128,1161
41,691,1674
41,1272,312
41,1546,1925
41,1770,1598
42,225,1692
42,1025,1033
42,1566,1376
42,1702,1387
42,1941,47
42,1978,665
43,103,1611
43,822,1177
43,1021,1712
43,1321,1980
43,1366,563
43,1643,776
44,81,506
44,287,1581
44,360,1726
44,899,1657
44,1122,803
44,1580,1683
45,1785,1642
46,600,853
46,1182,1553
47,287,244
47,618,561
47,1142,968
47,1201,1173
47,1307,1186
47,1538,1993
48,634,25
48,897,1016
48,898,984
48,1002,652
48,1111,547
48,1202,1630
48,1268,188
49,331,176
49,1999,931
50,94,501
50,813,1579
50,1788,285
51,1520,1503
51,1784,902
52,756,416
52,909,1776
52,1902,638
53,183,724
53,583,671
53,1247,1902
53,1506,381
53,1561,1253
53,1578,813
53,1863,1246
53,1912,1260
53,1974,1236
54,149,1308
54,382,407
54,1149,407
54,1660,60
56,236,1796
56,698,1486
56,987,238
56,1265,1449
56,1560,106
57,580,936
57,982,884
57,1209,92
57,1823,1631
57,1915,1036
58,71,1358
58,244,1566
58,335,1048
58,975,1355
58,1524,1668
58,1604,52
59,94,664
59,1267,459
59,1334,1318
59,1704,359
60,203,1511
60,670,283
60,1199,480
60,1298,559
60,1329,1902
60,1567,652
60,1705,1964
60,1891,356
61,66,692
61,76,1018
61,133,973
61,191,447
61,234,368
61,767,284
61,1018,417
61,1136,235
62,171,660
62,495,762
62,683,1920
62,1274,79
62,1314,905
62,1767,1470
64,267,1785
64,881,1802
64,1172,1941
65,261,1019
65,969,1910
65,1648,646
66,31,53
66,562,460
66,734,1667
66,836,1565
66,1353,1745
66,1396,1386
67,367,1902
67,702,172
67,1567,23
67,1624,1351
68,571,893
68,603,41
68,871,1087
69,553,569
69,561,1774
69,745,320
69,1321,1332
69,1710,1627
69,1948,1239
70,1318,579
71,258,137
71,1091,358
71,1363,649
71,1481,157
72,1220,228
72,1915,948
72,1943,1299
73,67,362
73,190,1573
73,395,51
73,481,1430
73,963,532
73,1178,545
73,1423,1341
74,424,449
74,525,23
74,658,1411
74,781,746
74,927,385
74,1712,813
75,385,290
75,694,114
75,1352,1889
76,352,564
76,543,1489
76,943,1347
76,1592,413
77,1355,689
77,1361,799
78,222,1221
78,293,1846
78,300,1247
78,377,1401
78,560,393
78,587,1878
78,756,59
78,887,205
78,1066,223
78,1118,410
78,1619,1317
79,1193,168
79,1260,561
79,1672,469
80,263,1177
80,931,1974
80,993,1447
80,1258,0
80,1280,962
80,1309,303
80,1509,186
80,1824,1172
80,1981,786
81,248,1777
81,594,1231
81,756,568
81,1268,167
81,1328,663
81,1397,1813
81,1889,123
82,237,495
82,338,1828
82,440,1711
82,1562,1548
83,1,106
83,445,579
83,454,1949
83,638,1881
83,781,1716
83,877,571
83,1503,144
83,1683,799
84,653,1105
84,711,1091
84,1186,1065
85,2,1664
85,213,72
85,385,1939
85,631,746
85,646,1911
85,1038,215
85,1131,1462
86,137,772
86,321,579
86,448,1553
86,589,1956
86,643,777
86,893,38
86,1488,1781
86,1525,1919
86,1736,987
86,1810,287
86,1933,395
87,402,220
87,703,1037
87,830,242
87,867,160
87,941,840
87,960,1657
87,1271,1318
88,1489,1604
89,261,392
89,841,746
89,1301,792
89,1810,1477
89,1886,474
89,1997,60
90,82,963
90,123,261
90,620,24
90,851,1049
90,875,1004
90,1227,100
90,1344,129
91,564,1246
91,1659,1455
92,60,1744
92,79,280
92,820,104
92,1051,220
92,1500,367
92,1677,35
93,19,1744
93,330,1513
