10.0,211.0,0
11.0,221.0,1
26.0,280.0,2
34.0,238.0,3
37.0,59.0,4
41.0,307.0,5
51.0,111.0,6
53.0,341.0,7
59.0,151.0,8
61.0,217.0,9
66.0,319.0,10
78.0,20.0,11
78.0,77.0,12
78.0,284.0,13
79.0,421.0,14
80.0,103.0,15
106.0,183.0,16
115.0,49.0,17
117.0,484.0,18
118.0,213.0,19
134.0,440.0,20
141.0,153.0,21
147.0,313.0,22
164.0,17.0,23
169.0,166.0,24
175.0,178.0,25
209.0,18.0,26
209.0,194.0,27
228.0,353.0,28
229.0,225.0,29
230.0,256.0,30
246.0,356.0,31
247.0,414.0,32
250.0,350.0,33
259.0,63.0,34
259.0,189.0,35
260.0,239.0,36
265.0,221.0,37
265.0,268.0,38
266.0,466.0,39
268.0,35.0,40
268.0,335.0,41
268.0,420.0,42
288.0,252.0,43
291.0,370.0,44
297.0,423.0,45
312.0,67.0,46
324.0,23.0,47
337.0,239.0,48
337.0,474.0,49
345.0,184.0,50
356.0,100.0,51
364.0,269.0,52
373.0,466.0,53
379.0,283.0,54
396.0,172.0,55
399.0,285.0,56
406.0,46.0,57
408.0,452.0,58
413.0,353.0,59
422.0,282.0,60
429.0,251.0,61
431.0,192.0,62
434.0,463.0,63
436.0,226.0,64
436.0,431.0,65
443.0,431.0,66
444.0,74.0,67
448.0,364.0,68
461.0,363.0,69
466.0,472.0,70
470.0,152.0,71
486.0,394.0,72
488.0,166.0,73
495.0,227.0,74
